step,0,1,2,3,4,5,6,7
162,10,5.42538,4.57462,5.42536,4.57462,1.73925e-05,5.42536,4.57464
163,10,5.42487,4.57513,5.42485,4.57513,1.73213e-05,5.42485,4.57515
164,10,5.42436,4.57564,5.42434,4.57564,1.72504e-05,5.42434,4.57566
165,10,5.42386,4.57614,5.42385,4.57614,1.71798e-05,5.42385,4.57615
166,10,5.42338,4.57662,5.42336,4.57662,1.71096e-05,5.42336,4.57664
167,10,5.4229,4.5771,5.42289,4.5771,1.70396e-05,5.42289,4.57711
168,10,5.42244,4.57756,5.42242,4.57756,1.697e-05,5.42242,4.57758
169,10,5.42198,4.57802,5.42196,4.57802,1.69007e-05,5.42196,4.57804
170,10,5.42153,4.57847,5.42152,4.57847,1.68317e-05,5.42152,4.57848
171,10,5.4211,4.5789,5.42108,4.5789,1.6763e-05,5.42108,4.57892
172,10,5.42067,4.57933,5.42065,4.57933,1.66947e-05,5.42065,4.57935
173,10,5.42025,4.57975,5.42023,4.57975,1.66266e-05,5.42023,4.57977
174,10,5.41984,4.58016,5.41982,4.58016,1.65588e-05,5.41982,4.58018
175,10,5.41943,4.58057,5.41942,4.58057,1.64913e-05,5.41942,4.58058
176,10,5.41904,4.58096,5.41902,4.58096,1.64242e-05,5.41902,4.58098
177,10,5.41865,4.58135,5.41863,4.58135,1.63573e-05,5.41863,4.58137
178,10,5.41827,4.58173,5.41826,4.58173,1.62907e-05,5.41826,4.58174
179,10,5.4179,4.5821,5.41788,4.5821,1.62245e-05,5.41788,4.58212
180,10,5.41754,4.58246,5.41752,4.58246,1.61585e-05,5.41752,4.58248
181,10,5.41718,4.58282,5.41716,4.58282,1.60928e-05,5.41716,4.58284
182,10,5.41683,4.58317,5.41682,4.58317,1.60274e-05,5.41682,4.58318
183,10,5.41649,4.58351,5.41647,4.58351,1.59622e-05,5.41647,4.58353
184,10,5.41615,4.58385,5.41614,4.58385,1.58974e-05,5.41614,4.58386
185,10,5.41583,4.58417,5.41581,4.58417,1.58329e-05,5.41581,4.58419
186,10,5.4155,4.5845,5.41549,4.5845,1.57686e-05,5.41549,4.58451
187,10,5.41519,4.58481,5.41517,4.58481,1.57046e-05,5.41517,4.58483
188,10,5.41488,4.58512,5.41487,4.58512,1.56409e-05,5.41487,4.58513
189,10,5.41458,4.58542,5.41456,4.58542,1.55774e-05,5.41456,4.58544
190,10,5.41428,4.58572,5.41427,4.58572,1.55143e-05,5.41427,4.58573
191,10,5.41399,4.58601,5.41398,4.58601,1.54514e-05,5.41398,4.58602
192,10,5.41371,4.58629,5.41369,4.58629,1.53888e-05,5.41369,4.58631
193,10,5.41343,4.58657,5.41342,4.58657,1.53264e-05,5.41342,4.58658
