points,value
1174,56271
1175,56271
1176,56271
1177,56271.1
1178,56271.1
1179,56271.1
1180,56271.1
1181,56271.1
1182,56271.1
1183,56271.2
1184,56271.2
1185,56271.2
1186,56271.2
1187,56271.2
1188,56271.2
1189,56271.3
1190,56271.3
1191,56271.3
1192,56271.3
1193,56271.3
1194,56271.3
1195,56271.3
1196,56271.4
1197,56271.4
1198,56271.4
1199,56271.4
1200,56271.4
1201,56271.4
1202,56271.5
1203,56271.5
1204,56271.5
1205,56271.5
1206,56271.5
1207,56271.5
1208,56271.6
1209,56271.6
1210,56271.6
1211,56271.6
1212,56271.6
1213,56271.6
1214,56271.7
1215,56271.7
1216,56271.7
1217,56271.7
1218,56271.7
1219,56271.7
1220,56271.8
1221,56271.8
1222,56271.8
1223,56271.8
1224,56271.8
1225,56271.8
1226,56271.8
1227,56271.9
1228,56271.9
1229,56271.9
1230,56271.9
1231,56271.9
1232,56271.9
1233,56272
1234,56272
1235,56272
1236,56272
1237,56272
1238,56272
1239,56272.1
1240,56272.1
1241,56272.1
1242,56272.1
1243,56272.1
1244,56272.1
1245,56272.2
1246,56272.2
1247,56272.2
1248,56272.2
1249,56272.2
1250,56272.2
1251,56272.3
1252,56272.3
1253,56272.3
1254,56272.3
1255,56272.3
1256,56272.3
1257,56272.3
1258,56272.4
1259,56272.4
1260,56272.4
1261,56272.4
1262,56272.4
1263,56272.4
1264,56272.5
1265,56272.5
1266,56272.5
1267,56272.5
1268,56272.5
1269,56272.5
1270,56272.6
1271,56272.6
1272,56272.6
1273,56272.6
1274,56272.6
1275,56272.6
1276,56272.7
1277,56272.7
1278,56272.7
1279,56272.7
1280,56272.7
1281,56272.7
1282,56272.8
1283,56272.8
1284,56272.8
1285,56272.8
1286,56272.8
1287,56272.8
1288,56272.8
1289,56272.9
1290,56272.9
1291,56272.9
1292,56272.9
1293,56272.9
1294,56272.9
1295,56273
1296,56273
1297,56273
1298,56273
1299,56273
1300,56273
1301,56273.1
1302,56273.1
1303,56273.1
1304,56273.1
1305,56273.1
1306,56273.1
1307,56273.2
1308,56273.2
1309,56273.2
1310,56273.2
1311,56273.2
1312,56273.2
1313,56273.3
1314,56273.3
1315,56273.3
1316,56273.3
1317,56273.3
1318,56273.3
1319,56273.4
1320,56273.4
1321,56273.4
1322,56273.4
1323,56273.4
1324,56273.4
1325,56273.4
1326,56273.5
1327,56273.5
1328,56273.5
1329,56273.5
1330,56273.5
1331,56273.5
1332,56273.6
1333,56273.6
1334,56273.6
1335,56273.6
1336,56273.6
1337,56273.6
1338,56273.7
1339,56273.7
1340,56273.7
1341,56273.7
1342,56273.7
1343,56273.7
1344,56273.8
1345,56273.8
1346,56273.8
1347,56273.8
1348,56273.8
1349,56273.8
1350,56273.9
1351,56273.9
1352,56273.9
1353,56273.9
1354,56273.9
