step,0,1,2,3,4,5,6,7
219,10,5.7118,4.2882,5.5577,4.2882,0.154106,5.5577,4.4423
220,10,5.7122,4.2878,5.55408,4.2878,0.158124,5.55408,4.44592
221,10,5.7126,4.2874,5.55045,4.2874,0.16215,5.55045,4.44955
222,10,5.71298,4.28702,5.5468,4.28702,0.166185,5.5468,4.4532
223,10,5.71336,4.28664,5.54313,4.28664,0.170228,5.54313,4.45687
224,10,5.71373,4.28627,5.53945,4.28627,0.174279,5.53945,4.46055
225,10,5.7141,4.2859,5.53576,4.2859,0.178339,5.53576,4.46424
226,10,5.71446,4.28554,5.53205,4.28554,0.182408,5.53205,4.46795
227,10,5.71482,4.28518,5.52833,4.28518,0.186486,5.52833,4.47167
228,10,5.71517,4.28483,5.5246,4.28483,0.190572,5.5246,4.4754
229,10,5.71551,4.28449,5.52085,4.28449,0.194667,5.52085,4.47915
230,10,5.71585,4.28415,5.51708,4.28415,0.198771,5.51708,4.48292
231,10,5.71633,4.28367,5.51313,4.28367,0.203201,5.51313,4.48687
232,10,5.71693,4.28307,5.50898,4.28307,0.207952,5.50898,4.49102
233,10,5.71763,4.28237,5.50466,4.28237,0.212974,5.50466,4.49534
234,10,5.71843,4.28157,5.50017,4.28157,0.218261,5.50017,4.49983
235,10,5.71931,4.28069,5.49554,4.28069,0.223779,5.49554,4.50446
236,10,5.72027,4.27973,5.49075,4.27973,0.229522,5.49075,4.50925
237,10,5.72128,4.27872,5.48583,4.27872,0.23545,5.48583,4.51417
238,10,5.72234,4.27766,5.48078,4.27766,0.241562,5.48078,4.51922
239,10,5.72343,4.27657,5.47562,4.27657,0.247811,5.47562,4.52438
240,10,5.72456,4.27544,5.47036,4.27544,0.254197,5.47036,4.52964
241,10,5.72569,4.27431,5.46502,4.27431,0.260671,5.46502,4.53498
242,10,5.72683,4.27317,5.4596,4.27317,0.267232,5.4596,4.5404
243,10,5.72797,4.27203,5.45409,4.27203,0.273881,5.45409,4.54591
244,10,5.72913,4.27087,5.44851,4.27087,0.280615,5.44851,4.55149
245,10,5.73029,4.26971,5.44285,4.26971,0.287435,5.44285,4.55715
246,10,5.73143,4.26857,5.43714,4.26857,0.29429,5.43714,4.56286
247,10,5.73256,4.26744,5.43138,4.26744,0.301179,5.43138,4.56862
248,10,5.73367,4.26633,5.42557,4.26633,0.308103,5.42557,4.57443
249,10,5.73477,4.26523,5.41971,4.26523,0.315061,5.41971,4.58029
250,10,5.73586,4.26414,5.41381,4.26414,0.322053,5.41381,4.58619
251,10,5.73693,4.26307,5.40785,4.26307,0.329081,5.40785,4.59215
252,10,5.73799,4.26201,5.40185,4.26201,0.336142,5.40185,4.59815
253,10,5.73902,4.26098,5.39582,4.26098,0.343205,5.39582,4.60418
254,10,5.74003,4.25997,5.38976,4.25997,0.350269,5.38976,4.61024
255,10,5.74101,4.25899,5.38368,4.25899,0.357334,5.38368,4.61632
256,10,5.74197,4.25803,5.37757,4.25803,0.364401,5.37757,4.62243
257,10,5.7429,4.2571,5.37143,4.2571,0.37147,5.37143,4.62857
258,10,5.74382,4.25618,5.36527,4.25618,0.378542,5.36527,4.63473
259,10,5.74471,4.25529,5.35909,4.25529,0.385617,5.35909,4.64091
260,10,5.74558,4.25442,5.35288,4.25442,0.392695,5.35288,4.64712
261,10,5.74643,4.25357,5.34665,4.25357,0.399776,5.34665,4.65335
262,10,5.74726,4.25274,5.3404,4.25274,0.406861,5.3404,4.6596
