step,0,1,2,3,4,5,6,7,8,9,10
164,10,4.0172,5.9828,4.0172,3.6104,2.3724,4.0172,3.6104,2.3724,7.6276,2.3724
165,10,4.01706,5.98294,4.01706,3.61016,2.37278,4.01706,3.61016,2.37278,7.62722,2.37278
166,10,4.01693,5.98307,4.01693,3.60993,2.37314,4.01693,3.60993,2.37314,7.62686,2.37314
167,10,4.01679,5.98321,4.01679,3.60971,2.3735,4.01679,3.60971,2.3735,7.6265,2.3735
168,10,4.01667,5.98333,4.01667,3.60949,2.37384,4.01667,3.60949,2.37384,7.62616,2.37384
169,10,4.01654,5.98346,4.01654,3.60928,2.37418,4.01654,3.60928,2.37418,7.62582,2.37418
170,10,4.01642,5.98358,4.01642,3.60907,2.3745,4.01642,3.60907,2.3745,7.6255,2.3745
171,10,4.01631,5.98369,4.01631,3.60888,2.37482,4.01631,3.60888,2.37482,7.62518,2.37482
172,10,4.0162,5.9838,4.0162,3.60868,2.37512,4.0162,3.60868,2.37512,7.62488,2.37512
173,10,4.01609,5.98391,4.01609,3.6085,2.37541,4.01609,3.6085,2.37541,7.62459,2.37541
174,10,4.01598,5.98402,4.01598,3.60832,2.3757,4.01598,3.60832,2.3757,7.6243,2.3757
175,10,4.01588,5.98412,4.01588,3.60814,2.37597,4.01588,3.60814,2.37597,7.62403,2.37597
176,10,4.01579,5.98421,4.01579,3.60797,2.37624,4.01579,3.60797,2.37624,7.62376,2.37624
177,10,4.01569,5.98431,4.01569,3.60781,2.3765,4.01569,3.60781,2.3765,7.6235,2.3765
178,10,4.0156,5.9844,4.0156,3.60765,2.37675,4.0156,3.60765,2.37675,7.62325,2.37675
179,10,4.01551,5.98449,4.01551,3.60749,2.377,4.01551,3.60749,2.377,7.623,2.377
180,10,4.01543,5.98457,4.01543,3.60734,2.37723,4.01543,3.60734,2.37723,7.62277,2.37723
181,10,4.01534,5.98466,4.01534,3.6072,2.37746,4.01534,3.6072,2.37746,7.62254,2.37746
182,10,4.01526,5.98474,4.01526,3.60705,2.37768,4.01526,3.60705,2.37768,7.62232,2.37768
183,10,4.01519,5.98481,4.01519,3.60692,2.3779,4.01519,3.60692,2.3779,7.6221,2.3779
184,10,4.01511,5.98489,4.01511,3.60678,2.37811,4.01511,3.60678,2.37811,7.62189,2.37811
185,10,4.01504,5.98496,4.01504,3.60666,2.37831,4.01504,3.60666,2.37831,7.62169,2.37831
186,10,4.01497,5.98503,4.01497,3.60653,2.3785,4.01497,3.60653,2.3785,7.6215,2.3785
187,10,4.0149,5.9851,4.0149,3.60641,2.37869,4.0149,3.60641,2.37869,7.62131,2.37869
188,10,4.01483,5.98517,4.01483,3.60629,2.37888,4.01483,3.60629,2.37888,7.62112,2.37888
189,10,4.01477,5.98523,4.01477,3.60618,2.37905,4.01477,3.60618,2.37905,7.62095,2.37905
190,10,4.01471,5.98529,4.01471,3.60607,2.37923,4.01471,3.60607,2.37923,7.62077,2.37923
191,10,4.01465,5.98535,4.01465,3.60596,2.37939,4.01465,3.60596,2.37939,7.62061,2.37939
192,10,4.01459,5.98541,4.01459,3.60585,2.37955,4.01459,3.60585,2.37955,7.62045,2.37955
193,10,4.01454,5.98546,4.01454,3.60575,2.37971,4.01454,3.60575,2.37971,7.62029,2.37971
194,10,4.01448,5.98552,4.01448,3.60565,2.37986,4.01448,3.60565,2.37986,7.62014,2.37986
195,10,4.01443,5.98557,4.01443,3.60556,2.38001,4.01443,3.60556,2.38001,7.61999,2.38001
196,10,4.01438,5.98562,4.01438,3.60547,2.38015,4.01438,3.60547,2.38015,7.61985,2.38015
197,10,4.01433,5.98567,4.01433,3.60538,2.38029,4.01433,3.60538,2.38029,7.61971,2.38029
198,10,4.01429,5.98571,4.01429,3.60529,2.38042,4.01429,3.60529,2.38042,7.61958,2.38042
199,10,4.01424,5.98576,4.01424,3.60521,2.38055,4.01424,3.60521,2.38055,7.61945,2.38055
200,10,4.0142,5.9858,4.0142,3.60512,2.38068,4.0142,3.60512,2.38068,7.61932,2.38068
201,10,4.01415,5.98585,4.01415,3.60505,2.3808,4.01415,3.60505,2.3808,7.6192,2.3808
202,10,4.01411,5.98589,4.01411,3.60497,2.38092,4.01411,3.60497,2.38092,7.61908,2.38092
203,10,4.01407,5.98593,4.01407,3.60489,2.38103,4.01407,3.60489,2.38103,7.61897,2.38103
204,10,4.01403,5.98597,4.01403,3.60482,2.38115,4.01403,3.60482,2.38115,7.61885,2.38115
205,10,4.014,5.986,4.014,3.60475,2.38125,4.014,3.60475,2.38125,7.61875,2.38125
206,10,4.01396,5.98604,4.01396,3.60468,2.38136,4.01396,3.60468,2.38136,7.61864,2.38136
207,10,4.01392,5.98608,4.01392,3.60462,2.38146,4.01392,3.60462,2.38146,7.61854,2.38146
208,10,4.01389,5.98611,4.01389,3.60455,2.38156,4.01389,3.60455,2.38156,7.61844,2.38156
209,10,4.01386,5.98614,4.01386,3.60449,2.38165,4.01386,3.60449,2.38165,7.61835,2.38165
210,10,4.01383,5.98617,4.01383,3.60443,2.38174,4.01383,3.60443,2.38174,7.61826,2.38174
211,10,4.0138,5.9862,4.0138,3.60437,2.38183,4.0138,3.60437,2.38183,7.61817,2.38183
212,10,4.01377,5.98623,4.01377,3.60432,2.38192,4.01377,3.60432,2.38192,7.61808,2.38192
213,10,4.01374,5.98626,4.01374,3.60426,2.382,4.01374,3.60426,2.382,7.618,2.382
214,10,4.01371,5.98629,4.01371,3.60421,2.38208,4.01371,3.60421,2.38208,7.61792,2.38208
215,10,4.01368,5.98632,4.01368,3.60416,2.38216,4.01368,3.60416,2.38216,7.61784,2.38216
216,10,4.01366,5.98634,4.01366,3.60411,2.38224,4.01366,3.60411,2.38224,7.61776,2.38224
217,10,4.01363,5.98637,4.01363,3.60406,2.38231,4.01363,3.60406,2.38231,7.61769,2.38231
218,10,4.01361,5.98639,4.01361,3.60401,2.38238,4.01361,3.60401,2.38238,7.61762,2.38238
219,10,4.01358,5.98642,4.01358,3.60397,2.38245,4.01358,3.60397,2.38245,7.61755,2.38245
220,10,4.01356,5.98644,4.01356,3.60392,2.38252,4.01356,3.60392,2.38252,7.61748,2.38252
221,10,4.01354,5.98646,4.01354,3.60388,2.38258,4.01354,3.60388,2.38258,7.61742,2.38258
222,10,4.01352,5.98648,4.01352,3.60384,2.38265,4.01352,3.60384,2.38265,7.61735,2.38265
223,10,4.0135,5.9865,4.0135,3.6038,2.38271,4.0135,3.6038,2.38271,7.61729,2.38271
224,10,4.01348,5.98652,4.01348,3.60376,2.38277,4.01348,3.60376,2.38277,7.61723,2.38277
225,10,4.01346,5.98654,4.01346,3.60372,2.38282,4.01346,3.60372,2.38282,7.61718,2.38282
226,10,4.01344,5.98656,4.01344,3.60368,2.38288,4.01344,3.60368,2.38288,7.61712,2.38288
227,10,4.01342,5.98658,4.01342,3.60365,2.38293,4.01342,3.60365,2.38293,7.61707,2.38293
228,10,4.0134,5.9866,4.0134,3.60361,2.38299,4.0134,3.60361,2.38299,7.61701,2.38299
229,10,4.01338,5.98662,4.01338,3.60358,2.38304,4.01338,3.60358,2.38304,7.61696,2.38304
230,10,4.01337,5.98663,4.01337,3.60355,2.38308,4.01337,3.60355,2.38308,7.61692,2.38308
231,10,4.01335,5.98665,4.01335,3.60352,2.38313,4.01335,3.60352,2.38313,7.61687,2.38313
232,10,4.01334,5.98666,4.01334,3.60349,2.38318,4.01334,3.60349,2.38318,7.61682,2.38318
233,10,4.01332,5.98668,4.01332,3.60346,2.38322,4.01332,3.60346,2.38322,7.61678,2.38322
234,10,4.01331,5.98669,4.01331,3.60343,2.38327,4.01331,3.60343,2.38327,7.61673,2.38327
235,10,4.01329,5.98671,4.01329,3.6034,2.38331,4.01329,3.6034,2.38331,7.61669,2.38331
236,10,4.01328,5.98672,4.01328,3.60337,2.38335,4.01328,3.60337,2.38335,7.61665,2.38335
237,10,4.01327,5.98673,4.01327,3.60335,2.38339,4.01327,3.60335,2.38339,7.61661,2.38339
238,10,4.01325,5.98675,4.01325,3.60332,2.38343,4.01325,3.60332,2.38343,7.61657,2.38343
239,10,4.01324,5.98676,4.01324,3.6033,2.38346,4.01324,3.6033,2.38346,7.61654,2.38346
240,10,4.01323,5.98677,4.01323,3.60327,2.3835,4.01323,3.60327,2.3835,7.6165,2.3835
241,10,4.01322,5.98678,4.01322,3.60325,2.38353,4.01322,3.60325,2.38353,7.61647,2.38353
242,10,4.01321,5.98679,4.01321,3.60323,2.38357,4.01321,3.60323,2.38357,7.61643,2.38357
243,10,4.0132,5.9868,4.0132,3.6032,2.3836,4.0132,3.6032,2.3836,7.6164,2.3836
244,10,4.01319,5.98681,4.01319,3.60318,2.38363,4.01319,3.60318,2.38363,7.61637,2.38363
245,10,4.01318,5.98682,4.01318,3.60316,2.38366,4.01318,3.60316,2.38366,7.61634,2.38366
246,10,4.01317,5.98683,4.01317,3.60314,2.38369,4.01317,3.60314,2.38369,7.61631,2.38369
247,10,4.01316,5.98684,4.01316,3.60312,2.38372,4.01316,3.60312,2.38372,7.61628,2.38372
248,10,4.01315,5.98685,4.01315,3.60311,2.38375,4.01315,3.60311,2.38375,7.61625,2.38375
249,10,4.01314,5.98686,4.01314,3.60309,2.38377,4.01314,3.60309,2.38377,7.61623,2.38377
250,10,4.01313,5.98687,4.01313,3.60307,2.3838,4.01313,3.60307,2.3838,7.6162,2.3838
251,10,4.01312,5.98688,4.01312,3.60305,2.38383,4.01312,3.60305,2.38383,7.61617,2.38383
252,10,4.01311,5.98689,4.01311,3.60304,2.38385,4.01311,3.60304,2.38385,7.61615,2.38385
253,10,4.01311,5.98689,4.01311,3.60302,2.38387,4.01311,3.60302,2.38387,7.61613,2.38387
254,10,4.0131,5.9869,4.0131,3.603,2.3839,4.0131,3.603,2.3839,7.6161,2.3839
255,10,4.01309,5.98691,4.01309,3.60299,2.38392,4.01309,3.60299,2.38392,7.61608,2.38392
