step,0,1,2,3,4,5,6,7,8,9,10
170,10,3.37018,6.62982,3.37018,3.54576,3.08406,3.37018,3.54576,3.08406,6.91594,3.08406
171,10,3.36961,6.63039,3.36961,3.54557,3.08482,3.36961,3.54557,3.08482,6.91518,3.08482
172,10,3.36906,6.63094,3.36906,3.54538,3.08555,3.36906,3.54538,3.08555,6.91445,3.08555
173,10,3.36854,6.63146,3.36854,3.5452,3.08626,3.36854,3.5452,3.08626,6.91374,3.08626
174,10,3.36802,6.63198,3.36802,3.54503,3.08695,3.36802,3.54503,3.08695,6.91305,3.08695
175,10,3.36753,6.63247,3.36753,3.54486,3.08761,3.36753,3.54486,3.08761,6.91239,3.08761
176,10,3.36704,6.63296,3.36704,3.5447,3.08825,3.36704,3.5447,3.08825,6.91175,3.08825
177,10,3.36658,6.63342,3.36658,3.54454,3.08888,3.36658,3.54454,3.08888,6.91112,3.08888
178,10,3.36613,6.63387,3.36613,3.54439,3.08948,3.36613,3.54439,3.08948,6.91052,3.08948
179,10,3.36569,6.63431,3.36569,3.54425,3.09006,3.36569,3.54425,3.09006,6.90994,3.09006
180,10,3.36527,6.63473,3.36527,3.5441,3.09063,3.36527,3.5441,3.09063,6.90937,3.09063
181,10,3.36486,6.63514,3.36486,3.54397,3.09118,3.36486,3.54397,3.09118,6.90882,3.09118
182,10,3.36446,6.63554,3.36446,3.54383,3.09171,3.36446,3.54383,3.09171,6.90829,3.09171
183,10,3.36407,6.63593,3.36407,3.54371,3.09222,3.36407,3.54371,3.09222,6.90778,3.09222
184,10,3.3637,6.6363,3.3637,3.54358,3.09272,3.3637,3.54358,3.09272,6.90728,3.09272
185,10,3.36334,6.63666,3.36334,3.54346,3.0932,3.36334,3.54346,3.0932,6.9068,3.0932
186,10,3.36299,6.63701,3.36299,3.54335,3.09366,3.36299,3.54335,3.09366,6.90634,3.09366
187,10,3.36265,6.63735,3.36265,3.54323,3.09412,3.36265,3.54323,3.09412,6.90588,3.09412
188,10,3.36232,6.63768,3.36232,3.54312,3.09455,3.36232,3.54312,3.09455,6.90545,3.09455
189,10,3.36201,6.63799,3.36201,3.54302,3.09498,3.36201,3.54302,3.09498,6.90502,3.09498
190,10,3.3617,6.6383,3.3617,3.54292,3.09538,3.3617,3.54292,3.09538,6.90462,3.09538
191,10,3.3614,6.6386,3.3614,3.54282,3.09578,3.3614,3.54282,3.09578,6.90422,3.09578
192,10,3.36111,6.63889,3.36111,3.54273,3.09616,3.36111,3.54273,3.09616,6.90384,3.09616
193,10,3.36083,6.63917,3.36083,3.54263,3.09654,3.36083,3.54263,3.09654,6.90346,3.09654
194,10,3.36056,6.63944,3.36056,3.54255,3.0969,3.36056,3.54255,3.0969,6.9031,3.0969
195,10,3.3603,6.6397,3.3603,3.54246,3.09725,3.3603,3.54246,3.09725,6.90275,3.09725
196,10,3.36004,6.63996,3.36004,3.54238,3.09758,3.36004,3.54238,3.09758,6.90242,3.09758
197,10,3.35979,6.64021,3.35979,3.5423,3.09791,3.35979,3.5423,3.09791,6.90209,3.09791
198,10,3.35956,6.64044,3.35956,3.54222,3.09823,3.35956,3.54222,3.09823,6.90177,3.09823
199,10,3.35932,6.64068,3.35932,3.54214,3.09853,3.35932,3.54214,3.09853,6.90147,3.09853
200,10,3.3591,6.6409,3.3591,3.54207,3.09883,3.3591,3.54207,3.09883,6.90117,3.09883
201,10,3.35888,6.64112,3.35888,3.542,3.09912,3.35888,3.542,3.09912,6.90088,3.09912
202,10,3.35867,6.64133,3.35867,3.54193,3.09939,3.35867,3.54193,3.09939,6.90061,3.09939
203,10,3.35847,6.64153,3.35847,3.54187,3.09966,3.35847,3.54187,3.09966,6.90034,3.09966
204,10,3.35827,6.64173,3.35827,3.5418,3.09992,3.35827,3.5418,3.09992,6.90008,3.09992
205,10,3.35808,6.64192,3.35808,3.54174,3.10018,3.35808,3.54174,3.10018,6.89982,3.10018
206,10,3.35789,6.64211,3.35789,3.54168,3.10042,3.35789,3.54168,3.10042,6.89958,3.10042
207,10,3.35772,6.64228,3.35772,3.54163,3.10066,3.35772,3.54163,3.10066,6.89934,3.10066
208,10,3.35754,6.64246,3.35754,3.54157,3.10089,3.35754,3.54157,3.10089,6.89911,3.10089
209,10,3.35737,6.64263,3.35737,3.54152,3.10111,3.35737,3.54152,3.10111,6.89889,3.10111
210,10,3.35721,6.64279,3.35721,3.54147,3.10132,3.35721,3.54147,3.10132,6.89868,3.10132
211,10,3.35705,6.64295,3.35705,3.54142,3.10153,3.35705,3.54142,3.10153,6.89847,3.10153
212,10,3.3569,6.6431,3.3569,3.54137,3.10173,3.3569,3.54137,3.10173,6.89827,3.10173
213,10,3.35675,6.64325,3.35675,3.54132,3.10193,3.35675,3.54132,3.10193,6.89807,3.10193
214,10,3.35661,6.64339,3.35661,3.54128,3.10212,3.35661,3.54128,3.10212,6.89788,3.10212
215,10,3.35647,6.64353,3.35647,3.54123,3.1023,3.35647,3.54123,3.1023,6.8977,3.1023
216,10,3.35633,6.64367,3.35633,3.54119,3.10248,3.35633,3.54119,3.10248,6.89752,3.10248
217,10,3.3562,6.6438,3.3562,3.54115,3.10265,3.3562,3.54115,3.10265,6.89735,3.10265
218,10,3.35607,6.64393,3.35607,3.54111,3.10282,3.35607,3.54111,3.10282,6.89718,3.10282
219,10,3.35595,6.64405,3.35595,3.54107,3.10298,3.35595,3.54107,3.10298,6.89702,3.10298
220,10,3.35583,6.64417,3.35583,3.54103,3.10313,3.35583,3.54103,3.10313,6.89687,3.10313
221,10,3.35572,6.64428,3.35572,3.541,3.10328,3.35572,3.541,3.10328,6.89672,3.10328
222,10,3.35561,6.64439,3.35561,3.54096,3.10343,3.35561,3.54096,3.10343,6.89657,3.10343
223,10,3.3555,6.6445,3.3555,3.54093,3.10357,3.3555,3.54093,3.10357,6.89643,3.10357
224,10,3.35539,6.64461,3.35539,3.5409,3.10371,3.35539,3.5409,3.10371,6.89629,3.10371
