step,0,1,2,3
378,3.51,-8.0993,1.41071,5.02001
379,3.51134,-8.0993,1.41205,5.02269
380,3.51268,-8.0993,1.41338,5.02535
381,3.514,-8.0993,1.41471,5.028
382,3.51532,-8.0993,1.41602,5.03064
383,3.51663,-8.0993,1.41734,5.03327
384,3.51794,-8.0993,1.41864,5.03588
385,3.51924,-8.0993,1.41994,5.03848
386,3.52054,-8.0993,1.42124,5.04107
387,3.52182,-8.0993,1.42253,5.04365
388,3.52311,-8.0993,1.42381,5.04621
389,3.52438,-8.0993,1.42509,5.04877
390,3.52566,-8.0993,1.42636,5.05131
391,3.52692,-8.0993,1.42763,5.05385
392,3.52819,-8.0993,1.42889,5.05637
393,3.52944,-8.0993,1.43015,5.05888
394,3.53069,-8.0993,1.4314,5.06139
395,3.53194,-8.0993,1.43264,5.06388
396,3.53318,-8.0993,1.43389,5.06636
397,3.53442,-8.0993,1.43512,5.06884
398,3.53565,-8.0993,1.43635,5.0713
399,3.53688,-8.0993,1.43758,5.07376
400,3.5381,-8.0993,1.43881,5.0762
401,3.53932,-8.0993,1.44002,5.07864
402,3.54053,-8.0993,1.44124,5.08107
403,3.54174,-8.0993,1.44245,5.08349
404,3.54295,-8.0993,1.44365,5.0859
405,3.54415,-8.0993,1.44486,5.0883
406,3.54535,-8.0993,1.44605,5.0907
407,3.54654,-8.0993,1.44725,5.09308
408,3.54773,-8.0993,1.44844,5.09546
409,3.54892,-8.0993,1.44962,5.09783
410,3.5501,-8.0993,1.4508,5.1002
411,3.55128,-8.0993,1.45198,5.10255
412,3.55245,-8.0993,1.45316,5.1049
413,3.55362,-8.0993,1.45433,5.10724
414,3.55479,-8.0993,1.45549,5.10958
415,3.55595,-8.0993,1.45666,5.1119
416,3.55711,-8.0993,1.45782,5.11422
417,3.55827,-8.0993,1.45897,5.11654
418,3.55942,-8.0993,1.46012,5.11884
419,3.56057,-8.0993,1.46127,5.12114
420,3.56172,-8.0993,1.46242,5.12343
421,3.56286,-8.0993,1.46356,5.12572
422,3.564,-8.0993,1.4647,5.128
423,3.56513,-8.0993,1.46584,5.13027
424,3.56627,-8.0993,1.46697,5.13254
425,3.5674,-8.0993,1.4681,5.13479
426,3.56852,-8.0993,1.46923,5.13705
427,3.56965,-8.0993,1.47035,5.1393
428,3.57077,-8.0993,1.47147,5.14154
429,3.57189,-8.0993,1.47259,5.14377
430,3.573,-8.0993,1.4737,5.146
431,3.57411,-8.0993,1.47482,5.14822
432,3.57522,-8.0993,1.47592,5.15044
433,3.57633,-8.0993,1.47703,5.15265
434,3.57743,-8.0993,1.47813,5.15486
435,3.57853,-8.0993,1.47923,5.15705
436,3.57962,-8.0993,1.48033,5.15925
437,3.58072,-8.0993,1.48142,5.16144
438,3.58181,-8.0993,1.48251,5.16362
439,3.5829,-8.0993,1.4836,5.1658
440,3.58398,-8.0993,1.48469,5.16797
441,3.58507,-8.0993,1.48577,5.17013
442,3.58615,-8.0993,1.48685,5.17229
443,3.58722,-8.0993,1.48793,5.17445
444,3.5883,-8.0993,1.489,5.1766
445,3.58937,-8.0993,1.49007,5.17874
446,3.59044,-8.0993,1.49114,5.18088
447,3.59151,-8.0993,1.49221,5.18301
448,3.59257,-8.0993,1.49327,5.18514
449,3.59363,-8.0993,1.49433,5.18726
450,3.59469,-8.0993,1.49539,5.18938
451,3.59574,-8.0993,1.49645,5.19149
452,3.5968,-8.0993,1.4975,5.1936
453,3.59785,-8.0993,1.49855,5.1957
454,3.5989,-8.0993,1.4996,5.19779
455,3.59994,-8.0993,1.50065,5.19989
456,3.60099,-8.0993,1.50169,5.20197
457,3.60203,-8.0993,1.50273,5.20405
458,3.60306,-8.0993,1.50377,5.20613
459,3.6041,-8.0993,1.5048,5.2082
460,3.60513,-8.0993,1.50584,5.21026
461,3.60616,-8.0993,1.50687,5.21233
462,3.60719,-8.0993,1.50789,5.21438
463,3.60822,-8.0993,1.50892,5.21643
464,3.60924,-8.0993,1.50994,5.21848
465,3.61026,-8.0993,1.51096,5.22052
466,3.61128,-8.0993,1.51198,5.22255
467,3.61229,-8.0993,1.513,5.22458
468,3.61331,-8.0993,1.51401,5.22661
469,3.61432,-8.0993,1.51502,5.22863
470,3.61532,-8.0993,1.51603,5.23065
471,3.61633,-8.0993,1.51703,5.23266
472,3.61733,-8.0993,1.51804,5.23466
473,3.61833,-8.0993,1.51904,5.23667
474,3.61933,-8.0993,1.52003,5.23866
475,3.62033,-8.0993,1.52103,5.24065
476,3.62132,-8.0993,1.52202,5.24264
477,3.62231,-8.0993,1.52301,5.24462
478,3.6233,-8.0993,1.524,5.2466
479,3.62428,-8.0993,1.52499,5.24857
480,3.62527,-8.0993,1.52597,5.25054
481,3.62625,-8.0993,1.52695,5.2525
482,3.62723,-8.0993,1.52793,5.25446
483,3.6282,-8.0993,1.52891,5.25641
484,3.62918,-8.0993,1.52988,5.25835
485,3.63015,-8.0993,1.53085,5.2603
486,3.63112,-8.0993,1.53182,5.26223
487,3.63208,-8.0993,1.53279,5.26417
488,3.63305,-8.0993,1.53375,5.2661
489,3.63401,-8.0993,1.53471,5.26802
490,3.63497,-8.0993,1.53567,5.26994
491,3.63593,-8.0993,1.53663,5.27185
492,3.63688,-8.0993,1.53758,5.27376
493,3.63783,-8.0993,1.53854,5.27566
494,3.63878,-8.0993,1.53949,5.27756
495,3.63973,-8.0993,1.54043,5.27946
496,3.64067,-8.0993,1.54138,5.28134
497,3.64161,-8.0993,1.54232,5.28323
498,3.64255,-8.0993,1.54326,5.28511
499,3.64349,-8.0993,1.5442,5.28698
500,3.64443,-8.0993,1.54513,5.28885
501,3.64536,-8.0993,1.54606,5.29072
502,3.64629,-8.0993,1.54699,5.29258
503,3.64722,-8.0993,1.54792,5.29443
504,3.64814,-8.0993,1.54885,5.29628
505,3.64906,-8.0993,1.54977,5.29813
506,3.64998,-8.0993,1.55069,5.29997
507,3.6509,-8.0993,1.55161,5.3018
508,3.65182,-8.0993,1.55252,5.30364
509,3.65273,-8.0993,1.55343,5.30546
510,3.65364,-8.0993,1.55435,5.30728
511,3.65455,-8.0993,1.55525,5.3091
512,3.65545,-8.0993,1.55616,5.31091
513,3.65636,-8.0993,1.55706,5.31272
514,3.65726,-8.0993,1.55796,5.31452
515,3.65816,-8.0993,1.55886,5.31631
516,3.65905,-8.0993,1.55976,5.31811
517,3.65995,-8.0993,1.56065,5.31989
518,3.66084,-8.0993,1.56154,5.32167
519,3.66173,-8.0993,1.56243,5.32345
520,3.66261,-8.0993,1.56332,5.32522
521,3.66349,-8.0993,1.5642,5.32699
522,3.66438,-8.0993,1.56508,5.32875
523,3.66525,-8.0993,1.56596,5.33051
524,3.66613,-8.0993,1.56683,5.33226
525,3.667,-8.0993,1.56771,5.33401
526,3.66788,-8.0993,1.56858,5.33575
527,3.66874,-8.0993,1.56945,5.33749
528,3.66961,-8.0993,1.57031,5.33922
529,3.67047,-8.0993,1.57118,5.34095
530,3.67133,-8.0993,1.57204,5.34267
531,3.67219,-8.0993,1.5729,5.34439
532,3.67305,-8.0993,1.57375,5.3461
533,3.6739,-8.0993,1.57461,5.34781
534,3.67476,-8.0993,1.57546,5.34951
535,3.6756,-8.0993,1.57631,5.35121
536,3.67645,-8.0993,1.57715,5.3529
537,3.67729,-8.0993,1.578,5.35459
538,3.67814,-8.0993,1.57884,5.35627
539,3.67897,-8.0993,1.57968,5.35795
540,3.67981,-8.0993,1.58051,5.35962
541,3.68064,-8.0993,1.58135,5.36129
542,3.68148,-8.0993,1.58218,5.36295
543,3.6823,-8.0993,1.58301,5.36461
544,3.68313,-8.0993,1.58384,5.36626
545,3.68395,-8.0993,1.58466,5.36791
546,3.68478,-8.0993,1.58548,5.36955
547,3.6856,-8.0993,1.5863,5.37119
548,3.68641,-8.0993,1.58712,5.37282
549,3.68723,-8.0993,1.58793,5.37445
550,3.68804,-8.0993,1.58874,5.37607
551,3.68885,-8.0993,1.58955,5.37769
552,3.68965,-8.0993,1.59036,5.3793
553,3.69046,-8.0993,1.59116,5.38091
554,3.69126,-8.0993,1.59196,5.38251
555,3.69206,-8.0993,1.59276,5.38411
556,3.69285,-8.0993,1.59356,5.3857
557,3.69364,-8.0993,1.59435,5.38729
558,3.69444,-8.0993,1.59514,5.38887
559,3.69522,-8.0993,1.59593,5.39045
560,3.69601,-8.0993,1.59671,5.39202
561,3.69679,-8.0993,1.5975,5.39359
562,3.69758,-8.0993,1.59828,5.39515
563,3.69835,-8.0993,1.59906,5.39671
564,3.69913,-8.0993,1.59983,5.39826
565,3.6999,-8.0993,1.60061,5.39981
566,3.70067,-8.0993,1.60138,5.40135
567,3.70144,-8.0993,1.60215,5.40288
568,3.70221,-8.0993,1.60291,5.40442
